q1,q2,q3,xe,ye,thetae
2.46,-2.39,-1,5.73,-0.71,-53.29
2.66,-2.76,1,5.11,8.03,51.57
3.0,-2.11,-1,4.43,5.66,-6.3
1.47,-1.51,-1,11.24,0.65,-59.59
0.45,-0.28,1,15.93,10.67,67.04
2.38,-2.4,-1,5.6,-1.27,-58.44
1.55,-1.64,0,14.09,5.74,-5.16
2.88,-0.59,-1,-9.43,13.8,73.91
0.84,-2.41,-1,-1.21,-5.57,-147.25
2.65,-1.02,-1,-0.93,14.42,36.1
1.82,-0.22,1,-7.93,17.39,148.97
2.49,-2.15,1,2.63,13.39,76.78
0.46,-1.71,-2,1.52,-2.78,-186.21
0.92,-2.6,0,2.71,-8.35,-96.26
0.9,-2.02,-1,3.75,-6.79,-121.47
2.58,-2.5,-1,5.29,-1.28,-52.71
2.54,-0.5,-1,-5.39,16.24,59.59
0.45,-1.78,-1,3.15,-8.83,-133.5
1.39,-1.96,1,13.51,6.03,24.64
1.9,-2.31,1,9.97,7.73,33.8
0.2,-2.77,-1,-5.39,0.51,-204.55
1.22,-1.56,0,15.6,1.9,-19.48
2.13,-1.5,0,7.6,14.18,36.1
0.86,-3.13,0,-4.44,-5.41,-130.06
2.68,-1.71,-2,1.29,2.89,-59.01
1.19,-2.39,-1,1.02,-5.69,-126.05
0.68,-2.56,0,1.18,-8.93,-107.72
2.73,-1.26,0,-5.01,16.73,84.22
2.82,-0.4,0,-17.15,11.46,138.66
0.7,-0.88,0,19.13,2.0,-10.31
0.91,-0.07,0,13.64,15.95,48.13
3.03,-0.43,-2,-7.18,8.34,34.38
1.38,-0.96,-1,13.57,5.89,-33.23
2.36,-0.13,1,-16.23,9.85,185.07
1.86,-0.44,0,0.11,20.55,81.36
3.12,-2.78,0,6.2,4.82,19.48
2.89,-2.25,-1,5.39,3.46,-20.63
0.85,-3.04,0,-3.51,-6.14,-125.48
2.09,-0.06,-1,-2.97,18.35,59.01
0.28,-2.81,0,-4.73,-6.1,-144.96
0.53,-0.24,-1,18.06,0.98,-40.68
2.19,-2.71,1,8.22,5.45,27.5
0.08,-2.74,0,-5.43,-5.93,-152.41
0.23,-1.1,0,15.84,-9.1,-49.85
0.86,-1.72,1,16.07,0.98,8.02
1.95,-0.59,0,0.34,20.19,77.92
2.3,-2.12,1,4.89,12.95,67.61
0.63,-1.33,0,16.36,-4.9,-40.11
2.55,-1.75,-1,5.93,7.53,-11.46
1.17,-2.05,0,11.65,-4.35,-50.42
1.02,-0.02,1,4.53,18.22,114.59
1.77,-0.31,2,-7.26,11.63,198.24
0.63,-3.06,0,-4.95,-5.02,-139.23
1.62,-3.04,1,7.1,-2.78,-24.06
2.62,-0.06,1,-18.31,4.49,203.97
2.25,-2.85,0,7.16,-2.46,-34.38
1.47,-1.5,1,11.66,12.53,55.58
2.14,-3.05,0,4.82,-5.16,-52.14
3.05,-1.13,-1,-5.12,12.79,52.71
2.66,-0.38,-1,-8.76,15.26,73.34
2.79,-1.53,1,-8.88,14.48,129.49
1.95,-1.06,-1,8.77,11.17,-6.3
2.0,-2.81,1,8.79,2.62,10.89
2.61,-2.98,0,7.02,-1.51,-21.2
1.43,-1.52,0,14.93,5.67,-5.16
1.78,-2.13,2,4.57,11.43,94.54
2.33,-1.39,-2,2.73,4.62,-60.73
2.42,-2.55,1,6.2,9.07,49.85
2.02,-2.51,1,9.25,6.43,29.22
1.05,-1.3,-1,12.47,-2.3,-71.62
0.84,-2.0,1,14.38,-2.32,-9.17
2.75,-2.39,-1,5.7,0.96,-36.67
2.36,-0.51,-1,-2.28,16.92,48.7
2.7,-2.38,-1,5.76,0.79,-38.96
1.79,-1.16,0,9.79,15.08,36.1
1.8,-0.3,1,-6.7,17.99,143.24
2.49,-0.32,-1,-6.78,16.47,67.04
1.22,-1.25,-1,13.01,0.36,-59.01
1.07,-0.92,-1,14.9,1.93,-48.7
2.1,-1.62,1,3.31,16.25,84.8
2.57,-2.32,-1,6.02,0.75,-42.97
0.53,-0.66,1,17.49,7.98,49.85
1.83,-0.73,-1,8.35,13.7,5.73
3.06,-2.69,-1,5.21,-1.02,-36.1
0.95,-0.17,1,7.59,17.46,101.99
1.71,-2.91,1,8.43,-0.98,-11.46
2.53,-2.69,0,8.09,1.79,-9.17
1.77,-2.15,1,10.81,8.33,35.52
0.34,-1.98,1,11.73,-8.83,-36.67
2.78,-2.21,1,-0.65,13.25,89.95
1.3,-2.42,0,7.97,-5.86,-64.17
3.13,-1.27,1,-15.72,8.74,163.87
2.51,-2.66,-1,4.13,-3.3,-65.89
2.31,-3.06,0,5.53,-4.37,-42.97
1.02,-0.27,-2,10.99,4.09,-71.62
2.02,-3.02,1,7.74,0.42,0.0
0.21,-2.77,-1,-5.4,0.46,-203.97
1.5,-1.01,-1,12.78,6.86,-29.22
1.44,-1.86,-1,8.36,-2.83,-81.36
3.0,-1.1,1,-15.99,9.29,166.16
0.78,-1.34,0,16.84,-2.51,-32.09
0.43,-1.29,1,17.86,-1.41,8.02
2.86,-1.78,2,-10.41,8.55,176.47
1.5,-1.1,1,8.13,16.61,80.21
1.11,-1.73,-1,8.47,-4.79,-92.82
1.26,-1.54,-1,10.88,-1.98,-73.34
0.48,-0.25,0,19.84,6.42,13.18
2.41,-1.1,1,-8.12,16.61,132.35
0.75,-1.74,-1,6.11,-7.47,-114.02
1.98,-2.76,1,9.02,3.03,12.61
1.21,-1.27,0,16.45,5.71,-3.44
0.47,-0.76,-1,14.89,-5.56,-73.91
1.31,-2.63,-1,-1.23,-5.14,-132.93
1.05,-0.65,-1,15.71,4.85,-34.38
2.59,-0.99,-1,-0.39,14.62,34.38
0.87,-2.89,0,-1.57,-7.26,-115.74
1.69,-1.82,0,13.05,5.14,-7.45
0.31,-2.23,1,8.51,-10.01,-52.71
0.02,-0.83,1,18.7,-3.61,10.89
1.15,-1.43,0,16.31,2.52,-16.04
0.88,-2.82,-1,-4.92,-2.53,-168.45
0.81,-2.3,1,11.57,-5.2,-28.07
1.9,-2.92,1,8.4,0.52,-1.15
1.64,-0.25,1,-4.34,18.65,136.94
1.29,-1.34,-1,12.41,0.3,-60.16
0.49,-0.47,-1,17.07,-2.38,-56.15
1.54,-2.63,-1,-0.02,-5.29,-119.75
2.62,-0.34,-1,-8.62,15.51,73.34
0.71,-2.68,1,6.54,-7.66,-55.58
2.47,-0.3,1,-16.42,9.94,181.63
2.94,-3.08,-1,3.0,-5.94,-65.32
2.68,-2.99,-1,2.2,-5.78,-75.06
1.83,-2.47,0,9.44,-1.59,-36.67
0.82,-0.91,0,18.72,3.86,-5.16
0.38,-3.12,-2,0.25,6.86,-271.58
1.66,-0.36,-1,7.94,15.79,17.19
1.04,-2.45,-1,-0.54,-5.55,-138.08
0.79,-2.03,1,14.0,-3.31,-13.75
0.83,-1.62,-2,3.08,-2.22,-159.86
2.58,-2.75,-1,3.71,-3.9,-67.04
1.92,-0.11,0,-5.71,20.18,103.71
2.87,-0.69,1,-17.74,7.35,182.2
2.46,-1.18,0,-1.42,17.82,73.34
2.01,-1.77,2,-0.52,13.49,128.34
2.25,-1.59,-1,7.73,7.4,-19.48
0.11,-2.93,0,-6.32,-3.66,-161.57
1.64,-2.64,-1,0.39,-5.27,-114.59
2.83,-0.21,1,-18.95,2.41,207.41
1.11,-0.95,0,16.93,8.5,9.17
3.1,-1.08,-1,-6.37,12.56,58.44
1.65,-1.19,-1,11.72,6.49,-30.94
0.45,-0.74,2,12.04,7.98,97.98
2.25,-1.13,0,1.7,18.05,64.17
2.5,-0.79,0,-7.55,18.05,97.98
1.97,-0.24,-1,1.39,18.03,41.83
2.28,-0.4,1,-13.45,13.79,165.01
1.85,-0.5,2,-7.24,12.11,191.94
2.52,-0.68,-1,-2.88,16.04,48.13
0.86,-0.49,0,17.62,10.37,21.2
3.01,-0.41,1,-19.22,1.43,206.26
1.06,-0.05,-1,14.14,12.1,0.57
1.89,-1.06,-1,9.43,10.63,-9.74
2.85,-2.32,1,-0.38,12.55,87.66
1.25,-0.2,0,9.17,18.79,60.16
0.03,-2.43,0,-3.33,-9.25,-137.51
1.24,-2.99,-1,-5.44,-2.94,-157.56
0.77,-2.51,0,2.67,-8.93,-99.69
3.14,-0.54,0,-19.0,7.23,148.97
1.09,-1.14,0,17.22,5.51,-2.86
2.25,-1.87,-1,7.8,3.98,-35.52
1.84,-0.29,-1,4.25,17.41,31.51
0.99,-1.22,-1,13.0,-2.34,-70.47
1.03,-0.74,1,12.25,14.73,73.91
2.62,-0.81,-1,-2.9,15.36,46.41
0.47,-2.17,1,10.69,-8.28,-40.11
1.1,-1.01,0,17.12,7.5,5.16
1.95,-1.96,-1,8.13,0.5,-57.87
2.09,-0.32,0,-6.24,19.8,101.41
2.02,-0.06,-1,-1.68,18.52,55.0
0.92,-1.95,-2,0.89,-1.21,-173.61
0.7,-0.92,0,19.02,1.45,-12.61
1.39,-0.42,0,9.17,18.43,55.58
0.64,-2.46,0,2.16,-9.39,-104.28
1.14,-0.93,0,16.62,9.28,12.03
0.74,-3.08,-1,-6.56,1.07,-191.37
0.01,-3.03,1,-2.99,-7.08,-115.74
2.37,-1.33,1,-4.64,17.16,116.88
0.98,-1.14,1,15.48,9.91,48.13
1.98,-2.53,0,9.15,-0.9,-31.51
1.8,-3.11,0,2.02,-6.71,-75.06
2.12,-1.4,-1,8.34,8.65,-16.04
2.07,-2.03,1,7.19,12.46,59.59
3.06,-1.8,-1,1.93,9.03,14.9
2.17,-1.63,1,2.27,16.38,88.24
1.48,-3.12,1,5.77,-4.19,-36.67
2.9,-2.15,1,-2.92,13.33,100.27
2.05,-2.78,0,7.2,-3.12,-41.83
2.53,-2.73,1,6.01,7.65,45.84
2.65,-1.74,-1,5.1,8.2,-5.16
0.63,-0.29,1,13.86,13.27,76.78
1.55,-1.45,0,14.08,8.4,5.73
1.65,-0.72,-1,10.61,12.1,-4.01
2.16,-1.85,-1,8.18,3.5,-39.53
0.51,-1.24,-2,4.91,-4.05,-156.42
2.18,-2.59,0,8.83,0.16,-23.49
0.03,-0.33,0,20.37,-3.93,-17.19
3.1,-2.86,-1,4.88,-2.87,-43.54
1.24,-1.74,-1,8.91,-3.72,-85.94
0.58,-0.94,1,18.02,5.55,36.67
2.91,-0.53,2,-14.16,-0.18,250.96
1.35,-1.44,1,12.8,11.73,52.14
1.1,-0.88,1,12.41,14.34,69.9
2.3,-1.01,-1,3.98,13.95,16.62
0.5,-3.11,-1,-6.14,2.97,-206.84
2.5,-1.21,0,-1.73,17.64,73.91
1.51,-2.09,0,12.14,-0.69,-33.23
2.51,-0.01,0,-16.87,12.51,143.24
0.67,-1.85,0,10.82,-8.6,-67.61
3.06,-2.98,1,3.3,7.3,61.88
1.56,-1.19,2,1.58,14.41,135.79
1.64,-0.59,1,-0.23,19.27,117.46
0.8,-2.56,-1,-2.94,-4.46,-158.14
0.6,-0.01,1,11.46,14.85,91.1
2.26,-0.46,0,-7.63,19.04,103.13
2.35,-0.27,-1,-5.03,17.27,61.88
1.44,-1.05,1,8.65,16.49,79.64
1.01,-2.08,0,10.44,-6.35,-61.31
1.31,-1.49,0,15.58,4.26,-10.31
2.22,-2.96,-1,-0.24,-6.04,-99.69
1.55,-0.14,1,-3.94,18.58,138.08
1.47,-2.68,0,5.65,-6.13,-69.33
0.3,-0.58,1,18.68,4.75,41.25
2.6,-2.57,0,8.0,4.03,1.72
2.84,-0.82,-1,-6.06,14.35,58.44
1.5,-1.79,0,13.91,2.98,-16.62
1.51,-2.07,1,12.69,6.25,25.21
0.25,-1.33,1,17.06,-5.0,-4.58
2.8,-1.72,1,-6.71,14.63,119.18
0.81,-2.13,0,8.3,-8.49,-75.63
2.76,-2.74,2,-2.54,9.05,115.74
1.06,-1.17,1,14.79,10.78,50.99
0.83,-2.11,-1,2.17,-6.85,-130.63
2.01,-1.51,1,3.66,16.67,85.94
1.52,-3.1,-1,-5.63,-3.74,-147.82
0.25,-0.81,0,18.64,-5.7,-32.09
2.88,-1.91,0,1.15,13.36,55.58
0.12,-2.56,-1,-5.09,-1.62,-197.1
0.93,-1.7,0,14.24,-4.13,-44.12
0.98,-2.15,-1,2.68,-6.41,-124.33
3.13,-0.62,1,-19.18,1.69,201.11
0.74,-1.36,0,16.56,-3.41,-35.52
2.71,-0.89,-1,-3.31,14.83,46.98
1.28,-0.17,0,8.23,19.25,63.6
2.53,-0.62,-1,-3.76,16.15,52.14
0.41,-0.15,0,19.95,6.39,14.9
2.53,-2.44,0,8.21,5.28,5.16
1.98,-0.83,0,2.93,19.2,65.89
2.12,-1.41,-1,8.36,8.53,-16.62
2.89,-2.02,0,2.25,12.44,49.85
1.46,-1.93,0,13.26,0.62,-26.93
1.75,-0.6,1,-2.22,19.14,123.19
1.52,-0.06,1,-4.31,18.36,140.95
0.61,-0.54,1,16.08,10.64,61.31
1.16,-1.93,-1,6.44,-5.32,-101.41
0.13,-0.55,1,19.19,1.89,33.23
0.03,-1.07,0,14.08,-11.86,-59.59
1.22,-2.73,1,8.94,-3.83,-29.22
1.54,-1.96,1,12.46,7.98,33.23
2.95,-2.28,1,-2.08,12.65,95.68
1.36,-1.44,0,15.42,5.73,-4.58
1.02,-1.22,0,17.38,3.18,-11.46
1.78,-1.31,0,11.03,13.19,26.93
2.02,-0.3,0,-5.12,20.15,98.55
0.53,-2.34,-1,-2.24,-5.54,-161.0
0.66,-0.99,1,17.64,6.37,38.39
2.06,-1.87,-1,8.41,2.43,-46.41
0.01,-2.68,1,0.07,-10.08,-95.68
2.8,-1.59,1,-8.3,14.51,126.62
0.59,-2.62,1,6.32,-8.38,-59.01
2.39,-1.72,1,-0.32,16.09,95.68
2.92,-1.05,1,-15.64,10.11,164.44
0.59,-1.29,-1,10.27,-7.56,-97.4
1.18,-1.02,1,12.37,14.01,66.46
0.95,-1.64,1,16.14,3.37,17.76
2.85,-2.31,1,-0.49,12.61,88.24
2.77,-3.06,-1,2.13,-6.19,-73.91
0.99,-1.97,0,11.64,-5.77,-56.15
2.84,-0.96,0,-10.94,15.42,107.72
0.33,-0.18,0,20.47,4.36,8.59
0.84,-2.53,-1,-2.46,-4.79,-154.13
2.91,-0.65,0,-15.72,12.41,129.49
2.2,-2.9,0,6.59,-3.36,-40.11
0.05,-0.61,1,19.26,-0.39,25.21
1.71,-1.25,0,11.57,13.15,26.36
1.97,-1.56,-2,3.56,2.24,-91.1
0.13,-0.97,-1,9.75,-11.05,-105.42
0.63,-0.32,-1,17.72,1.8,-39.53
2.07,-0.6,-1,3.59,16.28,26.93
3.01,-2.55,0,5.61,7.13,26.36
2.46,-2.85,0,7.51,-0.91,-22.35
1.67,-2.86,-1,-2.15,-5.23,-125.48
1.39,-1.85,0,13.8,0.67,-26.36
2.15,-2.2,1,7.23,11.2,54.43
0.62,-2.68,0,-0.88,-8.29,-118.03
2.72,-2.97,-1,2.6,-5.51,-71.62
2.62,-1.64,-1,4.83,9.16,-1.15
1.73,-2.0,2,4.53,11.96,99.12
0.16,-1.5,1,15.11,-8.03,-19.48
2.25,-1.04,1,-6.1,17.61,126.62
2.05,-2.81,0,6.92,-3.43,-43.54
1.47,-0.97,-1,12.99,6.96,-28.65
1.74,-0.4,-1,7.02,16.05,19.48
2.97,-1.52,1,-11.45,12.61,140.37
0.44,-0.83,1,18.55,4.33,34.95
1.86,-2.29,1,10.26,7.57,32.66
